term,early_count,late_count,delta
chang,2,1,-1
initiative,3,2,-1
graduate,5,4,-1
orthopaedic,2,1,-1
result,6,5,-1
housing,3,2,-1
fast,3,2,-1
insurance,4,3,-1
lucile,2,1,-1
source,2,1,-1
affordable,6,5,-1
guideline,3,2,-1
phase,2,1,-1
launch,4,3,-1
pacemaker,3,1,-2
volunteer,3,1,-2
emphasize,4,2,-2
human,5,3,-2
culture,3,1,-2
jones,3,1,-2
profit,3,1,-2
already,3,1,-2
model,17,15,-2
number,7,5,-2
union,3,1,-2
toward,3,1,-2
use,19,17,-2
hold,4,2,-2
relations,4,2,-2
far,4,2,-2
industry,5,3,-2
optimal,3,1,-2
sanford,3,1,-2
post,6,4,-2
problem,6,4,-2
review,5,3,-2
five,4,2,-2
some,6,4,-2
into,16,14,-2
percent,3,1,-2
ann,3,1,-2
accord,7,5,-2
half,3,1,-2
prevention,8,6,-2
link,3,1,-2
awareness,3,1,-2
policy,5,3,-2
systems,3,1,-2
amount,3,1,-2
broad,6,4,-2
injury,3,1,-2
call,4,2,-2
ill,13,11,-2
rheumatology,4,2,-2
2016,3,1,-2
alto,4,2,-2
trials,3,1,-2
pay,5,3,-2
reveal,3,1,-2
message,3,1,-2
key,4,2,-2
examine,4,2,-2
responsibility,3,1,-2
benefit,8,6,-2
excited,3,1,-2
president,18,16,-2
only,8,6,-2
operative,3,1,-2
evolve,3,1,-2
u.s.,15,13,-2
tie,3,1,-2
partner,8,5,-3
actual,3,0,-3
perfect,3,0,-3
exceed,3,0,-3
congenital,5,2,-3
central,9,6,-3
accountable,3,0,-3
diagnostic,6,3,-3
fremont,3,0,-3
electronic,4,1,-3
duke,8,5,-3
14th,3,0,-3
stent,3,0,-3
word,4,1,-3
surgeon,6,3,-3
revolutionize,5,2,-3
survey,4,1,-3
veterans,4,1,-3
specialist,17,14,-3
communication,4,1,-3
benioff,10,7,-3
challenge,10,7,-3
survivor,3,0,-3
engagement,5,2,-3
7273,3,0,-3
scientific,8,5,-3
unexpected,3,0,-3
blvd,3,0,-3
5468,3,0,-3
