system,year,doctype,n_tokens,op_total,rel_total,op_rate_per_10k,rel_rate_per_10k,ratio_op_to_rel
ucsf,2024,press_release,904,0,5,0.0,55.309734513274336,0.0
ucsf,2024,press_release,540,0,10,0.0,185.1851851851852,0.0
ucsf,2024,press_release,539,0,7,0.0,129.87012987012986,0.0
ucsf,2024,press_release,606,0,4,0.0,66.00660066006601,0.0
ucsf,2024,press_release,756,0,0,0.0,0.0,
ucsf,2024,press_release,908,0,4,0.0,44.052863436123346,0.0
ucsf,2024,press_release,676,1,1,14.792899408284024,14.792899408284024,1.0
ucsf,2024,press_release,660,2,8,30.303030303030305,121.21212121212122,0.25
ucsf,2024,press_release,699,0,2,0.0,28.61230329041488,0.0
ucsf,2024,press_release,813,0,6,0.0,73.80073800738008,0.0
ucsf,2024,press_release,950,3,1,31.57894736842105,10.526315789473685,2.9999999999999996
ucsf,2024,press_release,1458,2,16,13.717421124828531,109.73936899862825,0.125
ucsf,2024,press_release,715,2,0,27.972027972027973,0.0,
ucsf,2024,press_release,660,0,0,0.0,0.0,
ucsf,2024,press_release,1091,0,7,0.0,64.16131989000917,0.0
ucsf,2024,press_release,1058,1,18,9.45179584120983,170.13232514177693,0.05555555555555555
ucsf,2024,press_release,1117,1,11,8.952551477170994,98.47806624888094,0.09090909090909091
ucsf,2024,press_release,482,1,4,20.74688796680498,82.98755186721992,0.25
ucsf,2024,press_release,934,0,3,0.0,32.11991434689507,0.0
ucsf,2024,press_release,681,0,0,0.0,0.0,
ucsf,2024,press_release,713,2,0,28.050490883590463,0.0,
ucsf,2024,press_release,2658,0,15,0.0,56.433408577878104,0.0
ucsf,2024,press_release,688,1,1,14.534883720930232,14.534883720930232,1.0
ucsf,2024,press_release,544,0,3,0.0,55.14705882352941,0.0
ucsf,2024,press_release,630,0,4,0.0,63.492063492063494,0.0
ucsf,2024,press_release,1310,1,3,7.633587786259542,22.900763358778626,0.33333333333333337
ucsf,2024,press_release,652,0,6,0.0,92.02453987730061,0.0
ucsf,2024,press_release,926,1,8,10.799136069114471,86.39308855291577,0.125
ucsf,2024,press_release,567,6,18,105.82010582010582,317.46031746031747,0.3333333333333333
ucsf,2024,press_release,1094,1,1,9.140767824497258,9.140767824497258,1.0
ucsf,2024,press_release,958,4,3,41.75365344467641,31.315240083507305,1.3333333333333335
ucsf,2024,press_release,1105,0,3,0.0,27.149321266968325,0.0
ucsf,2024,press_release,1748,0,19,0.0,108.69565217391305,0.0
ucsf,2024,press_release,732,1,5,13.66120218579235,68.30601092896175,0.19999999999999998
ucsf,2024,press_release,933,0,2,0.0,21.436227224008576,0.0
ucsf,2024,press_release,1154,0,7,0.0,60.658578856152516,0.0
ucsf,2024,press_release,1066,1,1,9.380863039399625,9.380863039399625,1.0
ucsf,2024,press_release,506,2,8,39.52569169960474,158.10276679841897,0.25
ucsf,2024,press_release,1071,2,1,18.674136321195146,9.337068160597573,2.0
ucsf,2024,press_release,586,2,2,34.129692832764505,34.129692832764505,1.0
ucsf,2024,press_release,570,0,0,0.0,0.0,
ucsf,2024,press_release,534,0,15,0.0,280.8988764044944,0.0
ucsf,2024,press_release,726,0,1,0.0,13.774104683195592,0.0
ucsf,2024,press_release,799,0,22,0.0,275.3441802252816,0.0
ucsf,2024,press_release,719,0,2,0.0,27.816411682892905,0.0
ucsf,2024,press_release,2680,0,5,0.0,18.65671641791045,0.0
ucsf,2024,press_release,704,0,3,0.0,42.61363636363637,0.0
ucsf,2024,press_release,1326,1,22,7.541478129713424,165.91251885369533,0.04545454545454545
ucsf,2024,press_release,809,3,1,37.08281829419036,12.360939431396787,3.0
ucsf,2024,press_release,562,0,1,0.0,17.793594306049823,0.0
ucsf,2024,press_release,1382,0,5,0.0,36.1794500723589,0.0
ucsf,2024,press_release,824,0,23,0.0,279.126213592233,0.0
ucsf,2024,press_release,749,1,3,13.35113484646195,40.053404539385845,0.33333333333333337
ucsf,2024,press_release,521,1,2,19.193857965451055,38.38771593090211,0.5
ucsf,2024,press_release,670,1,7,14.925373134328359,104.4776119402985,0.14285714285714288
ucsf,2024,press_release,1382,3,1,21.70767004341534,7.23589001447178,3.0000000000000004
ucsf,2024,press_release,567,1,4,17.63668430335097,70.54673721340389,0.25
ucsf,2024,press_release,1598,0,6,0.0,37.546933667083856,0.0
ucsf,2024,press_release,1244,3,16,24.115755627009648,128.61736334405145,0.1875
ucsf,2024,press_release,1002,1,5,9.980039920159681,49.9001996007984,0.2
ucsf,2024,press_release,788,2,0,25.380710659898476,0.0,
ucsf,2024,press_release,1292,5,29,38.69969040247678,224.45820433436532,0.1724137931034483
ucsf,2024,press_release,997,0,2,0.0,20.060180541624874,0.0
ucsf,2024,press_release,1252,0,10,0.0,79.87220447284345,0.0
ucsf,2024,press_release,1802,0,2,0.0,11.098779134295228,0.0
ucsf,2024,press_release,395,1,10,25.31645569620253,253.16455696202533,0.09999999999999999
ucsf,2024,press_release,1507,2,3,13.271400132714001,19.907100199071003,0.6666666666666666
ucsf,2024,press_release,1246,3,0,24.077046548956663,0.0,
ucsf,2024,press_release,708,0,0,0.0,0.0,
ucsf,2024,press_release,870,0,11,0.0,126.4367816091954,0.0
ucsf,2024,press_release,1019,1,15,9.813542688910697,147.20314033366046,0.06666666666666667
ucsf,2024,press_release,735,0,1,0.0,13.605442176870747,0.0
ucsf,2024,press_release,1169,0,3,0.0,25.66295979469632,0.0
ucsf,2024,press_release,798,1,1,12.531328320802006,12.531328320802006,1.0
ucsf,2024,press_release,1136,0,1,0.0,8.80281690140845,0.0
ucsf,2024,press_release,514,0,0,0.0,0.0,
ucsf,2024,press_release,679,0,5,0.0,73.63770250368188,0.0
ucsf,2024,press_release,1346,0,8,0.0,59.43536404160476,0.0
